	0-RawData	1-FilterAndTrim	2-ErrorModel	3.1-Dereplication	3.2-Denoising	4-ESV	5-MultipleSequenceAlignment	6-ChimeraRemoval	7-PreClassification	8-ConsensusClassification	9-Clustering_97	10-TaxaFilter_97	11-MultipletonsFilter_97	12-Subsampling_97	13-Lulu_97	14-RareSeqsFilter_97
105321	55534	43815	43815	43815 (16816 uniques)	43002 (154 uniques)	42008 (145 uniques)	42008 (140 uniques)	41803 (130 uniques)	41803 (130 uniques)	41803 (130 uniques)	41803 (90 uniques)	41605 (86 uniques)	41605 (86 uniques)	3700 (78 uniques)	3700 (78 uniques)	3698 (76 uniques)
105322	30395	24768	24768	24768 (13247 uniques)	22298 (482 uniques)	20118 (354 uniques)	20107 (340 uniques)	20107 (340 uniques)	20107 (340 uniques)	20107 (340 uniques)	20107 (300 uniques)	18876 (265 uniques)	18876 (265 uniques)	3700 (224 uniques)	3700 (224 uniques)	3680 (207 uniques)
105323	26974	21532	21532	21532 (11414 uniques)	19195 (430 uniques)	17470 (319 uniques)	17433 (303 uniques)	17433 (303 uniques)	17433 (303 uniques)	17433 (303 uniques)	17433 (261 uniques)	16096 (218 uniques)	16096 (218 uniques)	3700 (194 uniques)	3700 (194 uniques)	3694 (190 uniques)
105324	39065	30116	30116	30116 (12631 uniques)	28030 (365 uniques)	25378 (247 uniques)	25376 (237 uniques)	25350 (235 uniques)	25350 (235 uniques)	25350 (235 uniques)	25350 (209 uniques)	7935 (202 uniques)	7935 (202 uniques)	3700 (196 uniques)	3700 (196 uniques)	3695 (193 uniques)
105325	8432	6049	6049	6049 (4771 uniques)	5046 (189 uniques)	3154 (99 uniques)	3154 (96 uniques)	3154 (96 uniques)	3154 (96 uniques)	3154 (96 uniques)	3154 (88 uniques)	3106 (85 uniques)	3106 (85 uniques)	/	/	/
105326	60534	48349	48349	48349 (27396 uniques)	45246 (1026 uniques)	38574 (813 uniques)	38564 (768 uniques)	38564 (768 uniques)	38564 (768 uniques)	38564 (768 uniques)	38564 (581 uniques)	38362 (566 uniques)	38362 (566 uniques)	3700 (455 uniques)	3700 (455 uniques)	3667 (428 uniques)
105327	35585	27993	27993	27993 (16824 uniques)	25657 (770 uniques)	20834 (581 uniques)	20822 (565 uniques)	20822 (565 uniques)	20822 (565 uniques)	20822 (565 uniques)	20822 (461 uniques)	20648 (450 uniques)	20648 (450 uniques)	3700 (419 uniques)	3700 (419 uniques)	3694 (414 uniques)
105328	82179	65959	65959	65959 (10824 uniques)	65531 (50 uniques)	65392 (58 uniques)	65270 (50 uniques)	65206 (45 uniques)	65206 (45 uniques)	65206 (45 uniques)	65206 (36 uniques)	456 (29 uniques)	456 (29 uniques)	/	/	/
105329	41112	32594	32594	32594 (19109 uniques)	30386 (889 uniques)	25121 (670 uniques)	25118 (659 uniques)	25118 (659 uniques)	25118 (659 uniques)	25118 (659 uniques)	25118 (555 uniques)	25016 (547 uniques)	25016 (547 uniques)	3700 (496 uniques)	3700 (496 uniques)	3691 (487 uniques)
105330	35984	28547	28547	28547 (6759 uniques)	28034 (96 uniques)	27381 (77 uniques)	27381 (74 uniques)	27342 (72 uniques)	27342 (72 uniques)	27342 (72 uniques)	27342 (59 uniques)	1547 (48 uniques)	1547 (48 uniques)	/	/	/
105331	31043	24588	24588	24588 (15351 uniques)	22681 (682 uniques)	18008 (507 uniques)	18008 (495 uniques)	18008 (495 uniques)	18008 (495 uniques)	18008 (495 uniques)	18008 (425 uniques)	17885 (416 uniques)	17885 (416 uniques)	3700 (393 uniques)	3700 (393 uniques)	3697 (390 uniques)
105332	46181	37529	37529	37529 (22767 uniques)	34622 (974 uniques)	27722 (754 uniques)	27707 (725 uniques)	27707 (725 uniques)	27707 (725 uniques)	27707 (725 uniques)	27707 (576 uniques)	27565 (567 uniques)	27565 (567 uniques)	3700 (501 uniques)	3700 (501 uniques)	3680 (487 uniques)
105333	62491	49254	49254	49254 (20976 uniques)	46675 (665 uniques)	41915 (455 uniques)	41831 (435 uniques)	41723 (430 uniques)	41723 (430 uniques)	41723 (430 uniques)	41723 (372 uniques)	19323 (348 uniques)	19323 (348 uniques)	3700 (318 uniques)	3700 (318 uniques)	3692 (312 uniques)
105334	49576	40078	40078	40078 (15855 uniques)	38295 (351 uniques)	36681 (285 uniques)	36646 (267 uniques)	36056 (253 uniques)	36056 (253 uniques)	36056 (253 uniques)	36056 (205 uniques)	35511 (174 uniques)	35511 (174 uniques)	3700 (121 uniques)	3700 (121 uniques)	3689 (111 uniques)
